Player,Nationality,Teams Played For
Lakshmipathy Balaji,IND,"CSK, KKR, PBKS"
Lalit Yadav,IND,DC
Lasith Malinga,SL,MI
Laxmi Shukla,IND,"DC, KKR"
Lee Carseldine,AUS,RR
Lendl Simmons,WI,MI
Liam Livingstone,ENG,"PBKS, RCB"
Liam Plunkett,ENG,DC
Litton Das,BAN,KKR
Lizaad Williams,SA,DC
Lockie Ferguson,NZ,"GT, KKR, PBKS, RCB, RPSG"
Loots Bosman,SA,MI
Love Ablish,IND,PBKS
Luke Pomersbach,AUS,RCB
Luke Ronchi,NZ,MI
Luke Wright,ENG,PWI
Lukman Meriwala,IND,DC
Lungi Ngidi,SA,"CSK, RCB"
Luvnith Sisodia,IND,RCB
M. Siddharth,IND,LSG
MD Nidheesh,IND,MI
MS Dhoni,IND,"CSK, RPSG"
Maheesh Theekshana,SL,"CSK, RR"
Mahela Jayawardene,SL,"DC, KTK, PBKS"
Mahesh Rawat ‡,IND,RR
Mahipal Lomror,IND,"GT, RCB, RR"
Makhaya Ntini,SA,CSK
Manan Vohra,IND,"LSG, RCB, RR"
Manav Suthar,IND,GT
Mandeep Singh,IND,"DC, KKR, RCB"
Manish Pandey,IND,"DC, KKR, LSG, MI, PWI, RCB, SRH"
Manoj Bhandage,IND,RCB
Manoj Tiwary,IND,"DC, KKR, RPSG"
Manpreet Gony,IND,"CSK, DQ"
Manprit Juneja,IND,DC
Manvinder Bisla,IND,"PBKS, RCB"
Marchant de Lange,SA,"KKR, MI"
Marco Jansen,SA,"MI, PBKS, SRH"
Marcus Stoinis,AUS,"DC, LSG, PBKS, RCB"
Mark Boucher,SA,"KKR, RCB"
Mark Wood,ENG,"CSK, LSG"
Marlon Samuels,WI,"DC, PWI"
Martin Guptill,NZ,"MI, PBKS, SRH"
Mashrafe Mortaza,BAN,KKR
Matheesha Pathirana,SL,CSK
Matt Henry,NZ,LSG
Matthew Breetzke,SA,LSG
Matthew Hayden,AUS,CSK
Matthew Wade,AUS,"DC, GT"
Mayank Agarwal,IND,"DC, PBKS, RCB, RPSG, SRH"
Mayank Dagar,IND,"RCB, SRH"
Mayank Markande,IND,"MI, RR, SRH"
Mayank Yadav,IND,LSG
Michael Bracewell,NZ,RCB
Michael Clarke,AUS,PWI
Michael Hussey,AUS,"CSK, MI"
Michael Klinger,AUS,KTK
Michael Lumb,ENG,RR
Milind Kumar,IND,RCB
Milind Tandon,IND,RPSG
Misbah-ul-Haq,PAK,RCB
Mitch Owen,AUS,PBKS
Mitchell Johnson,AUS,"KKR, MI, PBKS"
Mitchell Marsh,AUS,"DC, DQ, LSG, PWI, RPSG, SRH"
Mitchell McClenaghan,NZ,MI
Mitchell Santner,NZ,"CSK, MI"
Mitchell Starc,AUS,"DC, RCB"
Mithun Manhas,IND,"DC, PWI"
Moeen Ali,ENG,"CSK, RCB"
Mohammad Ashraful,BAN,"CSK, MI"
Mohammad Asif,PAK,DC
Mohammad Hafeez,PAK,KKR
Mohammad Kaif,IND,"RCB, RR"
Mohammad Nabi,AFG,"CSK, MI, SRH"
Mohammed Azharuddeen,IND,RCB
Mohammed Shami,IND,"DC, GT, KKR, PBKS, SRH"
Mohammed Siraj,IND,"GT, RCB, SRH"
Mohd. Arshad Khan,IND,LSG
Mohit Rathee,IND,RCB
Mohit Sharma,IND,"CSK, DC, GT"
Mohnish Mishra,IND,"DQ, PWI"
Mohnish Parmar,IND,KKR
Mohsin Khan,IND,"LSG, MI"
Moises Henriques,AUS,"DC, KKR, MI, PBKS, RCB, SRH"
Monu Kumar,IND,CSK
Morne Morkel,SA,"DC, KKR, RR"
Morne van Wyk,SA,KKR
Mujeeb Ur Rahman,AFG,"CSK, MI, PBKS, SRH"
Mukesh Choudhary,IND,CSK
Mukesh Kumar,IND,DC
Munaf Patel,IND,"GL, MI, RR"
Murali Kartik,IND,"KKR, PWI, RCB"
Murali Vijay,IND,"CSK, DC, PBKS"
Murugan Ashwin,IND,"MI, PBKS, RCB, RR"
Musavir Khote,IND,MI
Musheer Khan,IND,PBKS
Mustafizur Rahman,BAN,"CSK, DC, MI, RR, SRH"
Muttiah Muralitharan,SL,"KTK, RCB"
Naman Dhir,IND,MI
Naman Ojha,IND,"DC, SRH"
Naman Ojha ‡,IND,RR
Nandre Burger §,SA,RR
Narayan Jagadeesan,IND,CSK
Nathan Coulter-Nile,AUS,"DC, KKR, MI, RR"
Nathan Ellis,AUS,PBKS
Nathu Singh,IND,"GL, MI"
Navdeep Saini,IND,"RCB, RR"
Naveen-ul-Haq,AFG,LSG
Nayan Doshi,ENG,RR
Nehal Wadhera,IND,"MI, PBKS"
Nic Maddinson,AUS,RCB
Nicholas Pooran,WI,"LSG, MI, PBKS, SRH"
Nikhil Naik,IND,KKR
Niraj Patel,IND,RR
Nishant Sindhu,IND,GT
Nitish Kumar Reddy,IND,SRH
Nitish Rana,IND,"KKR, MI, RR"
Noor Ahmad,AFG,GT
Nuwan Pradeep,SL,RCB
Nuwan Thushara,SL,"MI, RCB"
Nuwan Zoysa,SL,DQ
Obed McCoy,WI,RR
Odean Smith,WI,GT
Oshane Thomas,WI,RR
Owais Shah,ENG,"DC, KKR, KTK, RR"
Pankaj Jaswal,IND,MI
Pankaj Singh,IND,"RCB, RR"
Paras Dogra,IND,"GL, KKR, RR"
Parthiv Patel,IND,"CSK, DQ, KTK, MI, RCB, SRH"
Parvez Rasool,IND,SRH
Parvinder Awana,IND,PBKS
Pat Cummins,AUS,"DC, KKR, MI, SRH"
Paul Collingwood,ENG,DC
Paul Valthaty,IND,"PBKS, RR"
Pavan Deshpande,IND,RCB
Pawan Negi,IND,"CSK, DC, RCB"
Pawan Suyal,IND,MI
Peter Handscomb,AUS,RPSG
Phil Salt,ENG,"DC, RCB"
Phillip Hughes,AUS,MI
Pinal Shah,IND,MI
Pinal Shah ‡,IND,RR
Piyush Chawla,IND,"KKR, MI, PBKS"
Pradeep Sangwan,IND,"DC, GL, GT, KKR, MI"
Pragyan Ojha,IND,"DQ, MI"
Prasanth Parameswaran,IND,RCB
Prashant Chopra,IND,RR
Prashant Solanki,IND,CSK
Prasidh Krishna,IND,"GT, KKR, RR"
Praveen Dubey,IND,"DC, RCB"
Praveen Kumar,IND,"GL, MI, RCB, SRH"
Pravin Tambe,IND,RR
Prayas Ray Barman,IND,RCB
Prerak Mankad,IND,LSG
Prince Balwant Rai,IND,MI
Prince Yadav,IND,LSG
Prithvi Raj,IND,KKR
Prithvi Shaw,IND,DC
Priyam Garg,IND,"DC, SRH"
Priyansh Arya,IND,PBKS
Quinton de Kock,SA,"DC, KKR, LSG, MI, RCB, SRH"
R Sai Kishore,IND,GT
R. P. Singh,IND,"DQ, MI"
